date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:54:27	118395/118395	---M-Z	200	added ('OK')	text/html	etag:W/%22bffed6414c323bfd85055bad4e3d7c78%22	https://nd-noi-that.mysapo.net/san-pham-13	E:/template/noithat/nd-noi-that.mysapo.net/san-pham-13.html	(from https://nd-noi-that.mysapo.net/)
08:54:28	108801/108801	---M-Z	200	added ('OK')	text/html	etag:W/%228dee221199b161efb77688976d2a4d6c%22	https://nd-noi-that.mysapo.net/san-pham-12	E:/template/noithat/nd-noi-that.mysapo.net/san-pham-12.html	(from https://nd-noi-that.mysapo.net/)
08:54:30	109732/109732	---M-Z	200	added ('OK')	text/html	etag:W/%2272f4060d70f209ff06fe53779255a23f%22	https://nd-noi-that.mysapo.net/san-pham-11	E:/template/noithat/nd-noi-that.mysapo.net/san-pham-11.html	(from https://nd-noi-that.mysapo.net/)
08:54:31	105743/105743	---M-Z	200	added ('OK')	text/html	etag:W/%2217406cf1123d9a6d8ac97867bb5fdf51%22	https://nd-noi-that.mysapo.net/phong-ngu	E:/template/noithat/nd-noi-that.mysapo.net/phong-ngu.html	(from https://nd-noi-that.mysapo.net/)
08:54:32	105737/105737	---M-Z	200	added ('OK')	text/html	etag:W/%22ea05439126c838505b4b11b0b31e041e%22	https://nd-noi-that.mysapo.net/van-phong	E:/template/noithat/nd-noi-that.mysapo.net/van-phong.html	(from https://nd-noi-that.mysapo.net/)
08:54:33	175389/175389	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Dec%202021%2009:19:01%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/banner_2.jpg?1638842751333	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/banner_2fe5e.jpg	(from https://nd-noi-that.mysapo.net/)
08:54:33	105734/105734	---M-Z	200	added ('OK')	text/html	etag:W/%228af9eef90fc031674632e2bc2c1115bd%22	https://nd-noi-that.mysapo.net/ghe-banh	E:/template/noithat/nd-noi-that.mysapo.net/ghe-banh.html	(from https://nd-noi-that.mysapo.net/)
08:54:33	105725/105725	---M-Z	200	added ('OK')	text/html	etag:W/%22bdd19ef7ed7758b870df673c5c379500%22	https://nd-noi-that.mysapo.net/ke-sach	E:/template/noithat/nd-noi-that.mysapo.net/ke-sach.html	(from https://nd-noi-that.mysapo.net/)
08:54:34	105728/105728	---M-Z	200	added ('OK')	text/html	etag:W/%2219f1bbcf256473a26e337ffc0dff31a3%22	https://nd-noi-that.mysapo.net/ghe-sofa	E:/template/noithat/nd-noi-that.mysapo.net/ghe-sofa.html	(from https://nd-noi-that.mysapo.net/)
08:54:35	110041/110041	---M-Z	200	added ('OK')	text/html	etag:W/%2243a069c497948f5d18eb86b749896f04%22	https://nd-noi-that.mysapo.net/san-pham-10	E:/template/noithat/nd-noi-that.mysapo.net/san-pham-10.html	(from https://nd-noi-that.mysapo.net/)
